recommendationid,Polarity,Subjectivity,NLTK_Compound,Sentiment_Label
212658497,0.0,0.0,0.0,Neutral
212658451,0.30333333333333334,0.5,0.8242,Positive
212658175,-0.09829931972789116,0.404421768707483,-0.0516,Negative
212657489,-0.07592592592592594,0.4981481481481482,0.2282,Positive
212655857,0.10833333333333332,0.4029166666666667,-0.5106,Negative
212654240,0.175,0.36500000000000005,0.743,Positive
212653920,0.08184523809523807,0.419047619047619,0.8271,Positive
212653633,-0.2363095238095238,0.4291666666666667,-0.8527,Negative
212653229,-0.00454545454545455,0.5772727272727273,0.5267,Positive
212652902,0.26071428571428573,0.5535714285714286,0.9628,Positive
212652444,0.18958333333333333,0.39999999999999997,0.95,Positive
212652016,-0.05000000000000002,0.30000000000000004,0.2937,Positive
212651970,0.5388888888888889,0.6749999999999999,0.7184,Positive
212650883,0.04999999999999999,0.5625,-0.296,Negative
212650856,0.1840277777777778,0.6326388888888889,0.8779,Positive
212650303,-0.3635416666666667,0.48333333333333334,-0.2827,Negative
212650261,0.053571428571428575,0.6258928571428571,0.9062,Positive
212649857,-0.25,0.25,0.0,Neutral
212649695,0.29500000000000004,0.4333333333333333,0.9815,Positive
212649664,-0.023076923076923085,0.46923076923076923,-0.0516,Negative
212649407,0.2595959595959596,0.4643939393939394,0.9095,Positive
212648477,-0.25,0.225,0.0,Neutral
212648087,0.3333333333333333,0.6833333333333332,0.836,Positive
212646676,-0.34,0.5549999999999999,-0.8516,Negative
212646657,0.005215114104002998,0.4774728769173213,-0.0525,Negative
212639690,1.0,0.6,0.7482,Positive
212639528,-9.25185853854297e-18,0.5628205128205128,-0.7717,Negative
212636713,-0.1,0.3666666666666667,0.34,Positive
212634734,0.13749999999999996,0.4,0.8225,Positive
212633436,-0.16,0.24000000000000005,-0.8225,Negative
212633051,0.3,0.35,0.6369,Positive
212631139,-0.2,0.2,0.0,Neutral
212630690,0.175,0.35625,0.8996,Positive
212627909,-0.07954545454545454,0.395959595959596,0.0,Neutral
212624741,0.08666666666666667,0.5133333333333333,0.4678,Positive
212624243,-0.11091269841269841,0.4799603174603175,-0.8957,Negative
212621383,0.04999999999999999,0.7,0.6597,Positive
212620398,-0.2,0.38,0.2462,Positive
212618306,-0.16477272727272727,0.25492424242424244,-0.4881,Negative
212618010,0.039749999999999994,0.5535,-0.204,Negative
212614553,0.13636363636363635,0.45454545454545453,0.0,Neutral
212612965,-0.05000000000000002,0.675,0.4404,Positive
212612604,-0.004761904761904759,0.4632440476190476,0.4588,Positive
212609538,0.04999999999999999,0.45,0.34,Positive
212606376,0.06,0.38,0.9325,Positive
212606170,0.19999999999999998,0.5750000000000001,0.2091,Positive
212605688,-0.07500000000000001,0.3666666666666667,0.4581,Positive
212603467,0.16499999999999998,0.4175,0.9169,Positive
212602177,0.13154761904761905,0.5654761904761905,0.8834,Positive
212601412,0.13636363636363635,0.5,0.0,Neutral
212600700,0.09999999999999999,0.4000000000000001,0.6369,Positive
212599895,0.275,0.6749999999999999,0.7506,Positive
212599575,0.0,0.0,0.34,Positive
212599537,-0.024999999999999984,0.5,0.8622,Positive
212599034,-0.25,0.65,0.0,Neutral
212598104,0.3174715909090909,0.7598484848484848,0.9628,Positive
212597638,0.015277777777777779,0.7861111111111111,0.2238,Positive
212597254,0.12948484848484848,0.5020606060606061,-0.7617,Negative
212597210,0.5666666666666667,0.55,0.6689,Positive
212596998,0.25,0.76,0.204,Positive
212595753,0.13055555555555554,0.7555555555555556,-0.2023,Negative
212595495,-0.19166666666666665,0.5416666666666666,-0.7841,Negative
212594800,-0.2,0.0,-0.6808,Negative
212594763,0.002083333333333326,0.5499999999999999,0.4559,Positive
212593645,0.5,0.8888888888888888,0.6908,Positive
212592638,0.11499999999999999,0.59,-0.4963,Negative
212591736,0.17441077441077438,0.4134680134680135,0.296,Positive
212590808,0.3,0.1,-0.0772,Negative
212590425,0.15,0.525,0.0,Neutral
212590369,0.25,0.15000000000000002,0.3353,Positive
212588520,0.39,0.26,0.4582,Positive
212588280,-0.1625,0.30000000000000004,0.5972,Positive
212587902,-0.01111111111111112,0.5111111111111112,0.9098,Positive
212587831,0.06607142857142857,0.5047619047619047,0.8163,Positive
212586557,-0.07,0.5422222222222222,0.2752,Positive
212586380,0.0,0.0,-0.636,Negative
212584777,0.5,0.625,0.34,Positive
212583972,-0.0475,0.6599999999999999,0.6124,Positive
212581269,0.043855218855218855,0.4454124579124579,0.7616,Positive
212580561,0.19999999999999998,0.5,0.7094,Positive
212578528,0.2022843822843823,0.605990675990676,0.8456,Positive
212577913,0.08,0.7327777777777778,-0.0772,Negative
212577313,0.04375000000000001,0.7,0.0,Neutral
212576791,-0.1543229166666667,0.51125,-0.9211,Negative
212576121,0.22142857142857145,0.32857142857142857,-0.1779,Negative
212575592,0.012121212121212107,0.35151515151515156,0.3174,Positive
